ident	Latitude	Longitude	time
T5534	-14.18022157	-169.6569461	2019/06/24 20:13:27+00
T5534	-14.18022165	-169.6569461	2019/06/24 20:13:32+00
T5534	-14.18021235	-169.6569513	2019/06/24 20:13:37+00
T5534	-14.18020564	-169.6569543	2019/06/24 20:13:42+00
T5534	-14.18021042	-169.6569532	2019/06/24 20:13:47+00
T5534	-14.18021092	-169.6569535	2019/06/24 20:13:52+00
T5534	-14.18019768	-169.6569558	2019/06/24 20:13:57+00
T5534	-14.1802064	-169.6569456	2019/06/24 20:14:02+00
T5534	-14.18023045	-169.6569373	2019/06/24 20:14:07+00
T5534	-14.18025627	-169.6569334	2019/06/24 20:14:12+00
T5534	-14.18028946	-169.6569148	2019/06/24 20:14:17+00
T5534	-14.18030011	-169.6569044	2019/06/24 20:14:22+00
T5534	-14.18029759	-169.6568977	2019/06/24 20:14:27+00
T5534	-14.18027789	-169.6568949	2019/06/24 20:14:32+00
T5534	-14.18025912	-169.6568888	2019/06/24 20:14:37+00
T5534	-14.18024822	-169.6568888	2019/06/24 20:14:42+00
T5534	-14.18023397	-169.6568849	2019/06/24 20:14:47+00
T5534	-14.18022349	-169.6568887	2019/06/24 20:14:52+00
T5534	-14.18022919	-169.6568842	2019/06/24 20:14:57+00
T5534	-14.1802297	-169.6568871	2019/06/24 20:15:02+00
T5534	-14.18024386	-169.6568735	2019/06/24 20:15:07+00
T5534	-14.18025384	-169.6568784	2019/06/24 20:15:12+00
T5534	-14.18024864	-169.6568974	2019/06/24 20:15:17+00
T5534	-14.18026515	-169.6569066	2019/06/24 20:15:22+00
T5534	-14.18027865	-169.6569108	2019/06/24 20:15:27+00
T5534	-14.18028058	-169.6569082	2019/06/24 20:15:32+00
T5534	-14.18030421	-169.6569218	2019/06/24 20:15:37+00
T5534	-14.18032659	-169.656942	2019/06/24 20:15:42+00
T5534	-14.18035828	-169.6569664	2019/06/24 20:15:47+00
T5534	-14.18039231	-169.6569909	2019/06/24 20:15:52+00
T5534	-14.18040622	-169.6570187	2019/06/24 20:15:57+00
T5534	-14.18043061	-169.6570425	2019/06/24 20:16:02+00
T5534	-14.18045182	-169.6570785	2019/06/24 20:16:07+00
T5534	-14.18046347	-169.6571181	2019/06/24 20:16:12+00
T5534	-14.18047705	-169.6571635	2019/06/24 20:16:17+00
T5534	-14.18049281	-169.6572015	2019/06/24 20:16:22+00
T5534	-14.1805099	-169.6572388	2019/06/24 20:16:27+00
T5534	-14.18053354	-169.6572735	2019/06/24 20:16:32+00
T5534	-14.18055408	-169.6573132	2019/06/24 20:16:37+00
T5534	-14.18057059	-169.6573493	2019/06/24 20:16:42+00
T5534	-14.18059154	-169.6573879	2019/06/24 20:16:47+00
T5534	-14.18060806	-169.6574279	2019/06/24 20:16:52+00
T5534	-14.18062977	-169.6574726	2019/06/24 20:16:57+00
T5534	-14.18065466	-169.6575149	2019/06/24 20:17:02+00
T5534	-14.18066849	-169.6575604	2019/06/24 20:17:07+00
T5534	-14.18069179	-169.6576006	2019/06/24 20:17:12+00
T5534	-14.18071484	-169.6576256	2019/06/24 20:17:17+00
T5534	-14.18070554	-169.6576375	2019/06/24 20:17:22+00
T5534	-14.1807073	-169.6576358	2019/06/24 20:17:27+00
T5534	-14.18072448	-169.6576295	2019/06/24 20:17:32+00
T5534	-14.18073764	-169.6576251	2019/06/24 20:17:37+00
T5534	-14.18074208	-169.6576243	2019/06/24 20:17:42+00
T5534	-14.18074351	-169.6576232	2019/06/24 20:17:47+00
T5534	-14.1807451	-169.6576227	2019/06/24 20:17:52+00
T5534	-14.18074586	-169.6576219	2019/06/24 20:17:57+00
T5534	-14.18074342	-169.6576207	2019/06/24 20:18:02+00
T5534	-14.18074317	-169.6576202	2019/06/24 20:18:07+00
T5534	-14.18074141	-169.6576216	2019/06/24 20:18:12+00
T5534	-14.18071015	-169.6576307	2019/06/24 20:18:17+00
T5534	-14.18071459	-169.6576285	2019/06/24 20:18:22+00
T5534	-14.18071308	-169.6576296	2019/06/24 20:18:27+00
T5534	-14.1807099	-169.6576299	2019/06/24 20:18:32+00
T5534	-14.18070906	-169.6576304	2019/06/24 20:18:37+00
T5534	-14.18071099	-169.6576329	2019/06/24 20:18:42+00
T5534	-14.1807109	-169.6576347	2019/06/24 20:18:47+00
T5534	-14.18071358	-169.6576345	2019/06/24 20:18:52+00
T5534	-14.18070378	-169.6576323	2019/06/24 20:18:57+00
T5534	-14.18070562	-169.6576325	2019/06/24 20:19:02+00
T5534	-14.18070462	-169.657633	2019/06/24 20:19:07+00
T5534	-14.18070252	-169.6576326	2019/06/24 20:19:12+00
T5534	-14.18070001	-169.657632	2019/06/24 20:19:17+00
T5534	-14.18071828	-169.6576215	2019/06/24 20:19:22+00
T5534	-14.18074342	-169.6576105	2019/06/24 20:19:27+00
T5534	-14.18075172	-169.6576136	2019/06/24 20:19:32+00
T5534	-14.18075047	-169.6576113	2019/06/24 20:19:37+00
T5534	-14.18075508	-169.6576085	2019/06/24 20:19:42+00
T5534	-14.18075667	-169.6576103	2019/06/24 20:19:47+00
T5534	-14.18075709	-169.6576164	2019/06/24 20:19:52+00
T5534	-14.18075901	-169.6576164	2019/06/24 20:19:57+00
T5534	-14.18076572	-169.6576219	2019/06/24 20:20:02+00
T5534	-14.1807653	-169.657624	2019/06/24 20:20:07+00
T5534	-14.18076262	-169.6576245	2019/06/24 20:20:12+00
T5534	-14.18076279	-169.6576303	2019/06/24 20:20:17+00
T5534	-14.18076413	-169.6576351	2019/06/24 20:20:22+00
T5534	-14.18076698	-169.6576397	2019/06/24 20:20:27+00
T5534	-14.18077108	-169.6576428	2019/06/24 20:20:32+00
T5534	-14.18076941	-169.6576429	2019/06/24 20:20:37+00
T5534	-14.18076874	-169.6576408	2019/06/24 20:20:42+00
T5534	-14.18076974	-169.6576403	2019/06/24 20:20:47+00
T5534	-14.18077167	-169.6576391	2019/06/24 20:20:52+00
T5534	-14.18077352	-169.6576387	2019/06/24 20:20:57+00
T5534	-14.18077427	-169.6576418	2019/06/24 20:21:02+00
T5534	-14.18078466	-169.6576449	2019/06/24 20:21:07+00
T5534	-14.18079363	-169.6576488	2019/06/24 20:21:12+00
T5534	-14.18079422	-169.6576523	2019/06/24 20:21:17+00
T5534	-14.18079908	-169.6576485	2019/06/24 20:21:22+00
T5534	-14.18080444	-169.6576495	2019/06/24 20:21:27+00
T5534	-14.18080771	-169.657648	2019/06/24 20:21:32+00
T5534	-14.18080612	-169.6576516	2019/06/24 20:21:37+00
T5534	-14.18080721	-169.657657	2019/06/24 20:21:42+00
T5534	-14.18081358	-169.6576547	2019/06/24 20:21:47+00
T5534	-14.18081559	-169.657648	2019/06/24 20:21:52+00
T5534	-14.18081836	-169.6576454	2019/06/24 20:21:57+00
T5534	-14.18083579	-169.6576281	2019/06/24 20:22:02+00
T5534	-14.18086907	-169.6576101	2019/06/24 20:22:07+00
T5534	-14.18090109	-169.657597	2019/06/24 20:22:12+00
T5534	-14.18093436	-169.6575838	2019/06/24 20:22:17+00
T5534	-14.18096622	-169.6575706	2019/06/24 20:22:22+00
T5534	-14.18099178	-169.6575646	2019/06/24 20:22:27+00
T5534	-14.18101776	-169.6575544	2019/06/24 20:22:32+00
T5534	-14.18104324	-169.6575436	2019/06/24 20:22:37+00
T5534	-14.18107325	-169.6575413	2019/06/24 20:22:42+00
T5534	-14.18110661	-169.657543	2019/06/24 20:22:47+00
T5534	-14.18114416	-169.6575457	2019/06/24 20:22:52+00
T5534	-14.18117417	-169.6575483	2019/06/24 20:22:57+00
T5534	-14.18120208	-169.6575517	2019/06/24 20:23:02+00
T5534	-14.18123142	-169.6575506	2019/06/24 20:23:07+00
T5534	-14.18126419	-169.6575519	2019/06/24 20:23:12+00
